game_name,original_price,discount,packages,percentage
OCTOPATH TRAVELER + OCTOPATH TRAVELER II,66424.0,26570.0,Se incluyen 2 juegos,-60%
FOR HONORâ„¢,18900.0,2835.0,N/A,-85%
OCTOPATH TRAVELER II,34000.0,13600.0,N/A,-60%
Abiotic Factor,14500.0,11600.0,N/A,-20%
Lies of P,24900.0,12450.0,N/A,-50%
Clair Obscur: Expedition 33,19900.0,17910.0,N/A,-10%
"Warhammer 40,000: Space Marine 2",25000.0,13750.0,N/A,-45%
The King is Watching,6500.0,5850.0,N/A,-10%
Crysis Remastered Trilogy,20460.0,8185.0,Se incluyen 3 juegos,-60%
Stronghold Crusader: Definitive Edition,8500.0,7650.0,N/A,-10%
"Warhammer 40,000: Darktide",30005.0,8840.0,Se incluyen 2 juegos,-71%
60 Parseconds!,7360.0,1840.0,Se incluyen 2 juegos,-75%
OCTOPATH TRAVELERâ„¢,35920.0,14370.0,N/A,-60%
Lies of P: Overture Bundle,37350.0,24900.0,N/A,-33%
Crusader Kings III,26400.0,7920.0,N/A,-70%
Let Them Trade,8280.0,6120.0,Se incluyen 2 juegos,-26%
No Man's Sky,23900.0,9560.0,N/A,-60%
DayZ,30000.0,15000.0,N/A,-50%
RoadCraft,16000.0,12800.0,N/A,-20%
Cyberpunk 2077: EdiciÃ³n definitiva,,,N/A,
BeamNG.drive,10500.0,8400.0,N/A,-20%
Car Mechanic Simulator 2021,10500.0,2835.0,N/A,-73%
Dead Island 2,30400.0,9120.0,N/A,-70%
V Rising,14500.0,7250.0,N/A,-50%
SCUM,17800.0,11570.0,N/A,-35%
Arma 3,19000.0,2850.0,N/A,-85%
Hunt: Showdown 1896,17800.0,8900.0,N/A,-50%
Animal Shelter 2,11970.0,8410.0,Se incluyen 2 juegos,-30%
He is Coming,4900.0,3185.0,N/A,-35%
Assassin's CreedÂ® Odyssey,32990.0,6600.0,N/A,-80%
Hell Clock + Soulstone Survivors,,,Se incluyen 2 juegos,
Le Mans Ultimate,19705.0,17145.0,N/A,-13%
SnowRunner + RoadCraft Loyalty Bundle,21300.0,18900.0,Se incluyen 2 juegos,-11%
The Outer Worlds: Spacer's Choice Edition Upgrade Bundle,35820.0,12595.0,Se incluyen 2 juegos,-65%
Avatar: Frontiers of Pandoraâ„¢,43900.0,13170.0,N/A,-70%
Train Sim WorldÂ® 5,19900.0,3980.0,N/A,-80%
Le Mans Ultimate WEC Full Access Bundle,43290.5,41115.0,N/A,-5%
The Outer Worlds,16500.0,4125.0,N/A,-75%
Assassin's Creed Valhalla,34900.0,8725.0,N/A,-75%
House Flipper 2,18230.0,8940.0,Se incluyen 2 juegos,-51%
Ship Graveyard Simulator 2,15300.0,5515.0,Se incluyen 2 juegos,-64%
Crime Scene Cleaner,8500.0,6800.0,N/A,-20%
PAYDAY 3,18300.0,5490.0,N/A,-70%
Assassinâ€™s CreedÂ® IV Black Flagâ„¢,21990.0,6595.0,N/A,-70%
DRAGON QUEST III HD-2D Remake,30000.0,19500.0,N/A,-35%
Atomic Heart,24990.0,7495.0,N/A,-70%
Contraband Police,12500.0,5875.0,N/A,-53%
Borderlands 3,26990.0,2700.0,N/A,-90%
60 Seconds! Reatomized,4600.0,1150.0,N/A,-75%
Balatro,5850.0,5265.0,N/A,-10%
Plague Inc: Evolved,6500.0,1625.0,N/A,-75%
Maneater,15900.0,3180.0,N/A,-80%
Destiny 2: ColecciÃ³n de Legado (2025),,,N/A,
Car Dealer Simulator,8050.0,7245.0,N/A,-10%
Among Us,2500.0,1500.0,N/A,-40%
Kings of Roguelite,10260.0,9675.0,Se incluyen 2 juegos,-6%
The Wandering Village,12400.0,8060.0,N/A,-35%
"Warhammer 40,000: Boltgun",8100.0,4050.0,N/A,-50%
Watch_DogsÂ® 2,26990.0,4050.0,N/A,-85%
Wartales,16700.0,6680.0,N/A,-60%
Fabledom,9600.0,4800.0,N/A,-50%
Maneater Apex Edition,20160.0,4030.0,N/A,-80%
Evil West,20000.0,5000.0,N/A,-75%
Ultimate FishingÂ® Simulator,8500.0,850.0,N/A,-90%
Loop Hero x The King is Watching,11700.0,6725.0,Se incluyen 2 juegos,-43%
Skull and Bones,21000.0,4200.0,N/A,-80%
Ghost Watchers,6500.0,4550.0,N/A,-30%
"Warhammer 40,000: Boltgun - Forges of Corruption Edition",11115.0,5940.0,N/A,-47%
Endzone 2,10500.0,5250.0,N/A,-50%
My Time at Sandrock,17000.0,8500.0,N/A,-50%
Borderlands Collection: Caja de Pandora,29939.85,21500.0,Se incluyen 7 juegos,-28%
RimWorld Deluxe Pack,,,N/A,
60 Parsecs!,4600.0,1150.0,N/A,-75%
Wheel World,8500.0,7650.0,N/A,-10%
Let Them Trade & The Wandering Village,18180.0,12870.0,Se incluyen 2 juegos,-29%
PAYDAY 2,4600.0,1520.0,N/A,-67%
Unrailed!,7800.0,1170.0,N/A,-85%
Neon Abyss 2,8500.0,7650.0,N/A,-10%
Crusader Kings III: Collection,,,N/A,
Gunfire Reborn,8500.0,5525.0,N/A,-35%
Tropico 6,15900.0,5565.0,N/A,-65%
Core Keeper + Abiotic Factor,20700.0,18090.0,Se incluyen 2 juegos,-13%
Monument Valley 3,6500.0,5850.0,N/A,-10%
Company of Heroes 3,23900.0,11950.0,N/A,-50%
UnderMine 2,8500.0,7650.0,N/A,-10%
Kenshi,12400.0,4960.0,N/A,-60%
Date Banger,4600.0,3910.0,N/A,-15%
Wreckmaster Collection,30827.5,19740.0,N/A,-36%
Crysis 3 Remastered,12400.0,5580.0,N/A,-55%
Pile Up!,4600.0,2300.0,N/A,-50%
Ship Graveyard Simulator 2 - Fishing Boats DLC,2800.0,2520.0,N/A,-10%
Wrap House SimulatorðŸŒ¯,5000.0,3500.0,N/A,-30%
TRIANGLE STRATEGY,34000.0,13600.0,N/A,-60%
Thief Simulator,8500.0,850.0,N/A,-90%
Insurgency: Sandstorm,12400.0,4090.0,N/A,-67%
"Ranch Simulator: Build, Hunt, Farm",10500.0,1890.0,N/A,-82%
Loop Hero,6500.0,1625.0,N/A,-75%
Police Simulator: Patrol Officers,12400.0,6200.0,N/A,-50%
Gold Mining Simulator,8500.0,1700.0,N/A,-80%
Rain World,10500.0,5250.0,N/A,-50%
